pmid,title,year,journal,authors,institutions,countries,keywords,doi
23463771,Liquid chromatography-tandem mass spectrometry method for simultaneous quantification of urapidil and aripiprazole in human plasma and its application to human pharmacokinetic study.,2013,Biomedical chromatography : BMC,Ambavaram Vijaya Bhaskar Reddy; Nandigam Venugopal; Vemula Madhavi; Kalluru Gangadhara Reddy; Gajulapalle Madhavi,Sri Venkateswara University,India,"Acetates; Aripiprazole; Chromatography, Liquid; methods; Drug Stability; Least-Squares Analysis; Liquid-Liquid Extraction; Piperazines; blood; chemistry; pharmacokinetics; Quinolones; Reproducibility of Results; Sensitivity and Specificity; Tandem Mass Spectrometry",10.1002/bmc.2882
23392410,Trace analysis of acetylcholinesterase inhibitors with antipsychotic drugs for Alzheimer's disease by capillary electrophoresis with on column field-amplified sample injection.,2013,Analytical and bioanalytical chemistry,Wang Yi-Rou; Yang Yuan-Han; Lu Chi-Yu; Lin Shun-Jin; Chen Su-Hwei,Kaohsiung Medical University,Taiwan,"Alzheimer Disease; drug therapy; Antipsychotic Agents; blood; therapeutic use; Cholinesterase Inhibitors; Donepezil; Electrophoresis, Capillary; instrumentation; methods; Indans; Phenylcarbamates; Piperidines; Rivastigmine",10.1007/s00216-013-6767-7
23149440,Therapeutic drug monitoring of common antipsychotics.,2012,Therapeutic drug monitoring,Patteet Lisbeth; Morrens Manuel; Maudens Kristof E; Niemegeers Peter; Sabbe Bernard; Neels Hugo,Toxicological Centre,Belgium,Antipsychotic Agents; adverse effects; pharmacokinetics; pharmacology; therapeutic use; Drug Interactions; Drug Monitoring,10.1097/FTD.0b013e3182708ec5.
23089607,High-performance liquid chromatography method using ultraviolet detection for the quantification of aripiprazole and dehydroaripiprazole in psychiatric patients.,2012,Drug metabolism and drug interactions,Dorado Pedro; de Andrés Fernando; Naranjo María Eugenia G; Peñas-Lledó Eva M; González Idilio; González Antonio P; de la Rubia Alfredo; Llerena Adrián,Extremadura University Hospital amd Medical School,Spain,"Antipsychotic Agents; pharmacokinetics; therapeutic use; Aripiprazole; Chromatography, High Pressure Liquid; methods; Drug Monitoring; Limit of Detection; Mental Disorders; drug therapy; Piperazines; Quinolones; Reproducibility of Results; Spectrophotometry, Ultraviolet",10.1515/dmdi-2012-0016
22767645,Development and validation of an LC-ESI-MS method for quantitative determination of aripiprazole in human plasma and an application to pharmacokinetic study.,2012,Journal of chromatographic science,Ravinder Sreedasyam; Bapuji Akula Tukaram; Mukkanti Khagga; Raju Datla Rama; Ravikiran Hamsa Laxmi Venkata; Reddy Dendhi Chandrapal,APL-Research Centre,India,"Aripiprazole; Chromatography, High Pressure Liquid; methods; Drug Stability; Linear Models; Piperazines; blood; chemistry; pharmacokinetics; Quinolones; Reproducibility of Results; Sensitivity and Specificity; Solid Phase Extraction; Spectrometry, Mass, Electrospray Ionization; Tandem Mass Spectrometry",10.1093/chromsci/bms087
22377745,"Effects of paroxetine on plasma concentrations of aripiprazole and its active metabolite, dehydroaripiprazole, in Japanese patients with schizophrenia.",2012,Therapeutic drug monitoring,Nemoto Kenji; Mihara Kazuo; Nakamura Akifumi; Nagai Goyo; Kagawa Shoko; Suzuki Takeshi; Kondo Tsuyoshi,University of the Ryukyus,Japan,"Antipsychotic Agents; administration & dosage; adverse effects; pharmacokinetics; Aripiprazole; Asian People; Basal Ganglia Diseases; chemically induced; Chromatography, Liquid; Dose-Response Relationship, Drug; Drug Interactions; Mass Spectrometry; Paroxetine; pharmacology; Piperazines; Psychiatric Status Rating Scales; Quinolones; Schizophrenia; drug therapy; physiopathology; Selective Serotonin Reuptake Inhibitors; Severity of Illness Index",10.1097/FTD.0b013e31824a31e6
22259043,Determination of aripiprazole in rat plasma and brain using ultra-performance liquid chromatography/electrospray ionization tandem mass spectrometry.,2012,Biomedical chromatography : BMC,Liang Feng; Terry Alvin V; Bartlett Michael G,The University of Georgia,United States,"Aripiprazole; Brain Chemistry; Chromatography, High Pressure Liquid; methods; Drug Stability; Linear Models; Piperazines; analysis; blood; chemistry; metabolism; Quinolones; Rats, Wistar; Reproducibility of Results; Sensitivity and Specificity; Spectrometry, Mass, Electrospray Ionization; Tandem Mass Spectrometry",10.1002/bmc.2698
22020350,Aripiprazole and dehydroaripiprazole plasma concentrations and clinical responses in patients with schizophrenia.,2011,Journal of clinical psychopharmacology,Lin Shih-Ku; Chen Chih-Ken; Liu Yu-Li,Taipei City Hospital and Psychiatric Center,China,"Antipsychotic Agents; administration & dosage; pharmacokinetics; therapeutic use; Aripiprazole; Asian People; Dose-Response Relationship, Drug; Drug Monitoring; methods; Piperazines; Psychiatric Status Rating Scales; Quinolones; Schizophrenia; drug therapy",10.1097/JCP.0b013e3182356255
21157400,"Effects of the CYP2D6*10 allele on the steady-state plasma concentrations of aripiprazole and its active metabolite, dehydroaripiprazole, in Japanese patients with schizophrenia.",2011,Therapeutic drug monitoring,Suzuki Takeshi; Mihara Kazuo; Nakamura Akifumi; Nagai Goyo; Kagawa Shoko; Nemoto Kenji; Ohta Ikuya; Arakaki Hajime; Uno Tsukasa; Kondo Tsuyoshi,University of the Ryukyus,Japan,Alleles; Antipsychotic Agents; blood; therapeutic use; Aripiprazole; Asian People; genetics; Cytochrome P-450 CYP2D6; metabolism; Drug Monitoring; Genotype; Piperazines; Quinolones; Schizophrenia; drug therapy,10.1097/FTD.0b013e3182031021
20584524,"A systematic review of aripiprazole--dose, plasma concentration, receptor occupancy, and response: implications for therapeutic drug monitoring.",2010,The Journal of clinical psychiatry,Sparshatt Anna; Taylor David; Patel Maxine X; Kapur Shitij,South London and Maudsley National Health Service Foundation Trust,United Kingdom,"Antipsychotic Agents; administration & dosage; blood; therapeutic use; Aripiprazole; Dose-Response Relationship, Drug; Drug Monitoring; Piperazines; Positron-Emission Tomography; Psychotic Disorders; drug therapy; Quinolones; Receptors, Dopamine; drug effects; metabolism",10.4088/JCP.09r05060gre
19701114,Pharmacokinetic and pharmacodynamic interactions between carbamazepine and aripiprazole in patients with schizophrenia.,2009,Therapeutic drug monitoring,Nakamura Akifumi; Mihara Kazuo; Nagai Goyo; Suzuki Takeshi; Kondo Tsuyoshi,University of the Ryukyus,Japan,Antimanic Agents; blood; metabolism; Aripiprazole; Carbamazepine; Drug Interactions; Piperazines; pharmacokinetics; pharmacology; Quinolones; Schizophrenia; drug therapy,10.1097/FTD.0b013e3181b6326a
19683888,Therapeutic drug monitoring of seven psychotropic drugs and four metabolites in human plasma by HPLC-MS.,2009,Journal of pharmaceutical and biomedical analysis,Choong Eva; Rudaz Serge; Kottelat Astrid; Guillarme Davy; Veuthey Jean-Luc; Eap Chin B,University of Lausanne,Switzerland,"Antidepressive Agents; blood; metabolism; Calibration; Chromatography, High Pressure Liquid; methods; Drug Monitoring; instrumentation; Drug Stability; Hydrogen-Ion Concentration; Mass Spectrometry; Psychotropic Drugs; Reference Values; Reproducibility of Results; Specimen Handling; Temperature",10.1016/j.jpba.2009.07.007
19032724,"Population pharmacokinetic modelling of aripiprazole and its active metabolite, dehydroaripiprazole, in psychiatric patients.",2008,British journal of clinical pharmacology,Kim Jung-Ryul; Seo Hyo-Bum; Cho Joo-Youn; Kang Do-Hyung; Kim Yong Ku; Bahk Won-Myong; Yu Kyung-Sang; Shin Sang-Goo; Kwon Jun Soo; Jang In-Jin,Seoul National University College of Medicine,South Korea,"Antipsychotic Agents; administration & dosage; pharmacokinetics; Aripiprazole; Cytochrome P-450 CYP2D6; genetics; Drug Interactions; Drug Monitoring; Genotype; Mental Disorders; drug therapy; Metabolic Clearance Rate; Models, Biological; Piperazines; Polymorphism, Genetic; Quinolones",10.1111/j.1365-2125.2008.03223.x
18611062,Effects of hepatic or renal impairment on the pharmacokinetics of aripiprazole.,2008,Clinical pharmacokinetics,Mallikaarjun Suresh; Shoaf Susan E; Boulton David W; Bramer Steven L,,United States,Antipsychotic Agents; adverse effects; pharmacokinetics; Area Under Curve; Aripiprazole; Kidney Diseases; metabolism; Liver Diseases; Piperazines; Protein Binding; Quinolones; Severity of Illness Index,10.2165/00003088-200847080-00003
18381901,Brain and plasma pharmacokinetics of aripiprazole in patients with schizophrenia: an [18F]fallypride PET study.,2008,The American journal of psychiatry,Gründer Gerhard; Fellows Christine; Janouschek Hildegard; Veselinovic Tanja; Boy Christian; Bröcheler Anno; Kirschbaum Katrin M; Hellmann Sandra; Spreckelmeyer Katja M; Hiemke Christoph; Rösch Frank; Schaefer Wolfgang M; Vernaleken Ingo,RWTH Aachen University,Germany,"Antipsychotic Agents; blood; pharmacokinetics; therapeutic use; Aripiprazole; Benzamides; Binding Sites; Brain; diagnostic imaging; metabolism; Fluorine Radioisotopes; Piperazines; Positron-Emission Tomography; Pyrrolidines; Quinolones; Receptors, Dopamine D2; Receptors, Dopamine D3; Schizophrenia; drug therapy",10.1176/appi.ajp.2008.07101574
18356121,Development and validation of a high-performance liquid chromatography method using diode array detection for the simultaneous quantification of aripiprazole and dehydro-aripiprazole in human plasma.,2008,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",Lancelin Frédérique; Djebrani Kayssa; Tabaouti Khalid; Kraoul Linda; Brovedani Sophie; Paubel Pascal; Piketty Marie-Liesse,Centre Hospitalier Sainte-Anne,France,"Aripiprazole; Calibration; Chromatography, High Pressure Liquid; methods; Drug Monitoring; Piperazines; blood; Quinolones; Reproducibility of Results; Sensitivity and Specificity; Spectrophotometry, Ultraviolet",10.1016/j.jchromb.2008.02.026
17853280,"Serum levels of aripiprazole and dehydroaripiprazole, clinical response and side effects.",2008,The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,Kirschbaum Katrin M; Müller Matthias J; Malevani Jaroslav; Mobascher Arian; Burchardt Carsten; Piel Markus; Hiemke Christoph,University of Mainz,Germany,Antipsychotic Agents; adverse effects; blood; therapeutic use; Aripiprazole; Cytochrome P-450 CYP2D6; metabolism; Cytochrome P-450 CYP3A; Piperazines; Quinolones; Schizophrenia; drug therapy,10.1080/15622970701361255
17465637,Clinical pharmacokinetics of atypical antipsychotics: a critical review of the relationship between plasma concentrations and clinical response.,2007,Clinical pharmacokinetics,Mauri Massimo C; Volonteri Lucia S; Colasanti Alessandro; Fiorentini Alessio; De Gaspari Ilaria F; Bareggi Silvio R,University of Milan,Italy,"Antipsychotic Agents; blood; pharmacokinetics; therapeutic use; Dose-Response Relationship, Drug; Drug Interactions; Drug Monitoring; Mental Disorders; drug therapy; Smoking",10.2165/00003088-200746050-00001
15228157,Therapeutic monitoring of new antipsychotic drugs.,2004,Therapeutic drug monitoring,Hiemke Christoph; Dragicevic Aleksandra; Gründer Gerhard; Hätter Sebastian; Sachse Julia; Vernaleken Ingo; Müller Matthias J,University of Mainz,Germany,"Antipsychotic Agents; blood; chemistry; metabolism; Dose-Response Relationship, Drug; Drug Monitoring; methods; Receptors, Dopamine D2; Structure-Activity Relationship",10.1097/00007691-200404000-00012
11384214,In vivo canine model comparison of cardiohemodynamic and electrophysiological effects of a new antipsychotic drug aripiprazole (OPC-14597) to haloperidol.,2001,Toxicology and applied pharmacology,Sugiyama A; Satoh Y; Hashimoto K,Yamanashi Medical University,Japan,"Antipsychotic Agents; blood; pharmacology; Aripiprazole; Blood Pressure; drug effects; Cardiac Output; Dose-Response Relationship, Drug; Electrocardiography; Haloperidol; Heart Rate; Hemodynamics; Piperazines; Quinolones; Vascular Resistance; Ventricular Function, Left; Ventricular Pressure",10.1006/taap.2001.9168
