source,target,weight,source_freq,target_freq
Aripiprazole,Solid Phase Extraction,2,46,2
Psychiatric Status Rating Scales,pharmacokinetics,2,2,32
Solid Phase Extraction,blood,2,2,40
Severity of Illness Index,pharmacokinetics,2,2,32
Aripiprazole,Psychiatric Status Rating Scales,2,46,2
Aripiprazole,Severity of Illness Index,2,46,2
antipsychotics,metabolism,2,7,18
Risperidone,Tandem Mass Spectrometry,2,11,11
Fluoxetine,Risperidone,2,2,11
Asian People,"Dose-Response Relationship, Drug",2,5,12
Solid Phase Extraction,chemistry,2,2,9
analysis,blood,2,4,40
adverse effects,pharmacology,2,11,7
Paliperidone Palmitate,Quetiapine Fumarate,2,4,3
Drug Interactions,adverse effects,2,6,11
Quetiapine Fumarate,methods,2,3,22
Saliva,analysis,2,3,4
Drug Interactions,therapeutic use,2,6,27
Quetiapine Fumarate,pharmacokinetics,2,3,32
Benzodiazepines,pharmacokinetics,2,8,32
Quetiapine Fumarate,blood,2,3,40
Psychotic Disorders,therapeutic use,2,2,27
Reproducibility of Results,Saliva,2,8,3
Benzodiazepines,adverse effects,2,8,11
Paliperidone Palmitate,Risperidone,2,4,11
Risperidone,adverse effects,2,11,11
Aripiprazole,Mental Disorders,2,46,5
Aripiprazole,"Spectrophotometry, Ultraviolet",2,46,2
"Chromatography, High Pressure Liquid","Spectrophotometry, Ultraviolet",2,8,2
"Spectrophotometry, Ultraviolet",methods,2,2,22
Drug Monitoring,"Spectrophotometry, Ultraviolet",2,26,2
Mental Disorders,Piperazines,2,5,26
Olanzapine,adverse effects,2,9,11
"Chromatography, High Pressure Liquid",pharmacokinetics,2,8,32
Psychotropic Drugs,instrumentation,2,4,3
Mass Spectrometry,Psychotropic Drugs,2,3,4
Psychotropic Drugs,Reproducibility of Results,2,4,8
Drug Monitoring,Psychotropic Drugs,2,26,4
"Chromatography, High Pressure Liquid",Psychotropic Drugs,2,8,4
"Chromatography, High Pressure Liquid",instrumentation,2,8,3
"Chromatography, High Pressure Liquid",Mass Spectrometry,2,8,3
"Chromatography, High Pressure Liquid",analysis,2,8,4
Bipolar Disorder,"Drug Therapy, Combination",2,3,3
"Drug Therapy, Combination",adverse effects,2,3,11
Mass Spectrometry,Reproducibility of Results,2,3,8
Mass Spectrometry,methods,2,3,22
Schizophrenic Psychology,drug therapy,2,2,34
Drug Monitoring,instrumentation,2,26,3
Drug Monitoring,Mass Spectrometry,2,26,3
"Drug Therapy, Combination",pharmacokinetics,2,3,32
Sensitivity and Specificity,pharmacokinetics,2,4,32
Drug Monitoring,Saliva,2,26,3
Mass Spectrometry,instrumentation,2,3,3
Reproducibility of Results,instrumentation,2,8,3
Limit of Detection,Reproducibility of Results,2,3,8
Mass Spectrometry,blood,2,3,40
Drug Stability,pharmacokinetics,2,4,32
Drug Monitoring,Reference Values,2,26,2
Psychotic Disorders,drug therapy,2,2,34
Reference Values,methods,2,2,22
Psychotic Disorders,blood,2,2,40
"Chromatography, High Pressure Liquid",Reference Values,2,8,2
Antipsychotic Agents,Psychotic Disorders,2,54,2
"Spectrometry, Mass, Electrospray Ionization",methods,2,2,22
Drug Stability,Linear Models,2,4,2
Saliva,Tandem Mass Spectrometry,2,3,11
Antimanic Agents,Aripiprazole,2,3,46
Mental Disorders,Quinolones,2,5,25
Benzodiazepines,Piperazines,2,8,26
Drug Monitoring,Hydrogen-Ion Concentration,2,26,2
Drug Stability,"Spectrometry, Mass, Electrospray Ionization",2,4,2
Hydrogen-Ion Concentration,methods,2,2,22
Linear Models,Piperazines,2,2,26
Linear Models,blood,2,2,40
Aripiprazole,Limit of Detection,2,46,3
Reference Values,blood,2,2,40
Paliperidone Palmitate,blood,2,4,40
Limit of Detection,blood,2,3,40
Antimanic Agents,pharmacology,2,3,7
