pmid,title,year,journal,authors,institutions,countries,keywords,doi
35167392,Investigating the efficacy of osimertinib and crizotinib in phase 3 clinical trials on anti-cancer treatment-induced cardiotoxicity: are real-world studies the way forward?,2023,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,Kobat Hasan; Elkonaissi Islam; Foreman Emma; O'Brien Mary; Dorak Mehmet Tevfik; Nabhani-Gebara Shereen,National Health Service; School of Life Sciences; 4264Kingston University,United Kingdom,"Cardiotoxicity; anti-cancer treatment; cardio-oncology; real-world evidence; real-world experience; Crizotinib; adverse effects; Carcinoma, Non-Small-Cell Lung; drug therapy; Lung Neoplasms; etiology; Aniline Compounds; Protein Kinase Inhibitors; Mutation; Acrylamides; Indoles; Pyrimidines",10.1177/10781552221077417
35070746,Real-world experience of afatinib as first-line therapy for advanced EGFR mutation-positive non-small cell lung cancer in Korea.,2021,Translational lung cancer research,Lee Sung Yong; Choi Chang-Min; Chang Yoon Soo; Lee Kye Young; Kim Seung Joon; Yang Sei Hoon; Ryu Jeong Seon; Lee Jeong Eun; Lee Shin Yup; Park Ji Young; Kim Young-Chul; Oh In-Jae; Jung Chi Young; Lee Sang Hoon; Yoon Seong Hoon; Choi Juwhan; Jang Tae Won,Korea University Guro Hospital; Yonsei University Gangnam Severance Hospital; Chonnam National University Medical School and Hwasun Hospital; Ulsan University Asan Medical Center; Hallym University Sacred Heart Hospital; Yonsei University Severance Hospital; s Hospital; Chungnam National University; Pusan National University Yangsan Hospital; Inha University Hospital; Konkuk University Medical Center; Kosin University Gospel Hospital; Daegu Catholic University Medical Center; Kyungpook National University Chilgok Hospital; Wonkwang University Hospital,South Korea,Afatinib; epidermal growth factor receptor (EGFR); first-line; non-small cell lung cancer (NSCLC); Real-world,10.21037/tlcr-21-501
35045686,Pretreatment Neutrophil-to-Lymphocyte Ratio and Smoking History as Prognostic Factors in Advanced Non-Small Cell Lung Cancer Patients Treated with Osimertinib.,2022,Tuberculosis and respiratory diseases,Park Ji Young; Jang Seung Hun; Lee Chang Youl; Kim Taehee; Chung Soo Jie; Lee Ye Jin; Kim Hwan Il; Kim Joo-Hee; Park Sunghoon; Hwang Yong Il; Jung Ki-Suck,Kangnam Sacred Heart Hospital; Hallym University Sacred Heart Hospital; Chuncheon Sacred Heart Hospital; Dongtan Sacred Heart Hospital; Lung Research Institute of Hallym University College of Medicine; Kangdong Sacred Heart Hospital,South Korea,"Non‒Small Cell Lung Carcinoma; Osimertinib; Receptor, Epidermal Growth Factor",10.4046/trd.2021.0139
35037771,Osimertinib induced cardiac failure and QT-prolongation in a patient with advanced pulmonary adenocarcinoma.,2022,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,Bardaro Floriana; Stirpe Emanuele,18513Bolzano Hospital,Italy,"Osimertinib; QT-prolongation; heart failure; non-small cell lung carcinoma; Acrylamides; Adenocarcinoma; chemically induced; drug therapy; Adenocarcinoma of Lung; Aniline Compounds; adverse effects; Carcinoma, Non-Small-Cell Lung; genetics; Cardiotoxicity; Diabetes Mellitus, Type 2; ErbB Receptors; Long QT Syndrome; Lung Neoplasms; Mutation; Protein Kinase Inhibitors; Indoles; Pyrimidines",10.1177/10781552211073823
34739853,Molecular testing in stage I-III non-small cell lung cancer: Approaches and challenges.,2021,"Lung cancer (Amsterdam, Netherlands)",Aggarwal Charu; Bubendorf Lukas; Cooper Wendy A; Illei Peter; Borralho Nunes Paula; Ong Boon-Hean; Tsao Ming-Sound; Yatabe Yasushi; Kerr Keith M,Portugal; Hospital CUF Descobertas; University of Basel; National Heart Centre Singapore; University of Pennsylvania Perelman School of Medicine; Aberdeen University; National Cancer Center; University Health Network; Johns Hopkins University School of Medicine; Royal Prince Alfred Hospital and NSW Health Pathology,Portugal; Switzerland; Singapore; United States; United Kingdom; Japan; Canada; Australia,"Adjuvant therapy; Biomarker; Carcinoma, non-small cell; ErbB Receptors; Molecular diagnostic techniques; Molecular Targeted Therapy; Carcinoma, Non-Small-Cell Lung; diagnosis; genetics; therapy; Lung Neoplasms; Mutation; Neoplasm Recurrence, Local; Protein Kinase Inhibitors",10.1016/j.lungcan.2021.09.003
34739062,Association of Clinicopathologic and Molecular Tumor Features With Recurrence in Resected Early-Stage Epidermal Growth Factor Receptor-Positive Non-Small Cell Lung Cancer.,2021,JAMA network open,Saw Stephanie P L; Zhou Siqin; Chen Jianbin; Lai Gillianne; Ang Mei-Kim; Chua Kevin; Kanesvaran Ravindran; Ng Quan Sing; Jain Amit; Tan Wan Ling; Rajasekaran Tanujaa; Lim Darren W T; Tan Aaron; Fong Kam Weng; Takano Angela; Cheng Xin Ming; Lim Kiat Hon; Koh Tina; Ong Boon-Hean; Tan Eng Huat; Toh Chee Keong; Skanderup Anders J; Tan Sze Huey; Tan Daniel S W,National Cancer Centre Singapore; National Heart Centre Singapore; NUS Medical School; Singapore General Hospital; Genome Institute of Singapore,Singapore,"Acrylamides; therapeutic use; Aged, 80 and over; Aniline Compounds; Antineoplastic Agents; Carcinoma, Non-Small-Cell Lung; epidemiology; genetics; pathology; therapy; Carrier Proteins; Disease-Free Survival; ErbB Receptors; Lung Neoplasms; Neoplasm Recurrence, Local; Neoplasm Staging; Singapore; Indoles; Pyrimidines",10.1001/jamanetworkopen.2021.31892
34605320,Elevated serum creatine kinase levels due to osimertinib: A case report and review of the literature.,2022,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,Sugimoto Hiroshi; Matsumoto Satoshi; Tsuji Yukio; Sugimoto Keisuke,36809Kobe Red Cross Hospital,Japan,"lung cancer; creatine kinase; Epidermal growth factor receptor-tyrosine kinase inhibitor; myotoxicity; Osimertinib; Acrylamides; Aniline Compounds; Carcinoma, Non-Small-Cell Lung; Lung Neoplasms; drug therapy; Mutation; Protein Kinase Inhibitors; adverse effects; Indoles; Pyrimidines",10.1177/10781552211042271
34467250,Functional diagnostics using fresh uncultured lung tumor cells to guide personalized treatments.,2021,Cell reports. Medicine,Talwelkar Sarang S; Mäyränpää Mikko I; Søraas Lars; Potdar Swapnil; Bao Jie; Hemmes Annabrita; Linnavirta Nora; Lømo Jon; Räsänen Jari; Knuuttila Aija; Wennerberg Krister; Verschuren Emmy W,Oslo University Hospital; University of Copenhagen; Heart and Lung Center; University of Helsinki; Helsinki University Hospital and University of Helsinki,Norway; Denmark; Finland,"ALK; EGFR; KRAS; drug sensitivity and resistance testing; ex vivo drug screening; functional diagnostics; lung cancer; personalized medicine; pharmacogenomics; targeted therapy; Adenocarcinoma of Lung; diagnosis; pathology; Carcinoma, Non-Small-Cell Lung; Cellular Reprogramming; Epithelial Cells; Lung Neoplasms; Molecular Targeted Therapy; Precision Medicine; Proto-Oncogene Proteins p21(ras); genetics; Signal Transduction; Tumor Cells, Cultured",10.1016/j.xcrm.2021.100373
34418561,Pharmacovigilance Analysis of Cardiac Toxicities Associated With Targeted Therapies for Metastatic NSCLC.,2021,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,Waliany Sarah; Zhu Han; Wakelee Heather; Padda Sukhmani K; Das Millie; Ramchandran Kavitha; Myall Nathaniel J; Chen Thomas; Witteles Ronald M; Neal Joel W,Stanford University School of Medicine; Stanford Cancer Center South Bay,,Arrhythmia; cardio-oncology; heart failure; NSCLC; Targeted therapies; Cardiotoxicity; etiology; Lung Neoplasms; drug therapy; Pharmacovigilance; Protein Kinase Inhibitors; adverse effects; Protein-Tyrosine Kinases; Proto-Oncogene Proteins,10.1016/j.jtho.2021.07.030
34396309,Oncotherapeutic Protein Kinase Inhibitors Associated With Pro-Arrhythmic Liability.,2021,JACC. CardioOncology,Ye Johan Z; Hansen Finn B; Mills Robert W; Lundby Alicia,Technical University of Denmark; University of Copenhagen,Denmark,"AF, atrial fibrillation; FAERS, FDA Adverse Event Reporting System; FDA, U.S. Food and Drug Administration; HLGT, high level group terms; HLT, high level terms; MedDRA, Medical Dictionary for Regulatory Activities; PKI, protein kinase inhibitor; PT, preferred term; ROR, reporting odds ratio; SOC, system organ classes; alectinib; cardiac arrhythmia; Cardiotoxicity; Crizotinib; ibrutinib; idelalisib; nilotinib; Osimertinib; Pharmacovigilance; ponatinib; protein kinase inhibitor; ribociclib; risk models; trametinib U.S. Food and Drug Administration Adverse Event Reporting System",10.1016/j.jaccao.2021.01.009
