source,target,weight,source_freq,target_freq
Suzuki Hidekazu,Tsumura Shinsuke,2,2,2
Hara Satoshi,Suzuki Hidekazu,2,3,2
Maruyama Hirotaka,Sakata Shinya,2,2,2
Arai Daisuke,Sakata Shinya,2,2,2
Maruyama Hirotaka,Saito Go,2,2,2
Arai Daisuke,Saito Go,2,2,2
Ikeda Hideki,Saito Go,2,2,2
Inaba Megumi,Saito Go,2,2,2
Saito Go,Tsukita Yoko,2,2,2
Saito Go,Uchida Junji,2,2,2
Matsumoto Hirotaka,Sakata Shinya,2,3,2
Sakata Shinya,Yokoyama Toshihide,2,2,2
Matsumoto Hirotaka,Saito Go,2,3,2
Shibaki Ryota,Yokoyama Toshihide,2,2,2
Okada Asuka,Suzuki Hidekazu,2,2,2
Shibaki Ryota,Suzuki Hidekazu,2,2,2
Sakagami Takuro,Tamiya Motohiro,2,2,4
Tamiya Motohiro,Tsumura Shinsuke,2,4,2
Maruyama Hirotaka,Tamiya Motohiro,2,2,4
Maruyama Hirotaka,Suzuki Hidekazu,2,2,2
Arai Daisuke,Suzuki Hidekazu,2,2,2
Inaba Megumi,Tamiya Motohiro,2,2,4
Tamiya Motohiro,Tsukita Yoko,2,4,2
Tamiya Motohiro,Uchida Junji,2,4,2
Sato Yuki,Tamiya Motohiro,2,2,4
Otsuki Taiichiro,Tamiya Motohiro,2,2,4
Matsumoto Hirotaka,Tamiya Motohiro,2,3,4
Matsumoto Hirotaka,Suzuki Hidekazu,2,3,2
Suzuki Hidekazu,Yokoyama Toshihide,2,2,2
Suzuki Hidekazu,Yamaguchi Teppei,2,2,2
Shibaki Ryota,Yamaguchi Teppei,2,2,2
Okada Asuka,Tamiya Motohiro,2,2,4
Tamiya Motohiro,Yokoyama Toshihide,2,4,2
Matsumoto Hirotaka,Yamaguchi Teppei,2,3,2
Otsuki Taiichiro,Yamaguchi Teppei,2,2,2
Sato Yuki,Yamaguchi Teppei,2,2,2
Uchida Junji,Yamaguchi Teppei,2,2,2
Arai Daisuke,Yokoyama Toshihide,2,2,2
Inaba Megumi,Yamaguchi Teppei,2,2,2
Ikeda Hideki,Tamiya Motohiro,2,2,4
Arai Daisuke,Tamiya Motohiro,2,2,4
Sato Yuki,Yokoyama Toshihide,2,2,2
Uchida Junji,Yokoyama Toshihide,2,2,2
Tsukita Yoko,Yokoyama Toshihide,2,2,2
Inaba Megumi,Yokoyama Toshihide,2,2,2
Ikeda Hideki,Yokoyama Toshihide,2,2,2
Tsukita Yoko,Yamaguchi Teppei,2,2,2
Jiang Yun,Zhang Yuanming,2,2,2
Gao Mengjiao,Jiang Yun,2,2,2
Wu Li,Zhang Yuanming,2,2,2
Gao Mengjiao,Wu Li,2,2,2
Jiang Yun,Wu Li,2,2,2
Yu Jian,Zhang Yuanming,2,2,2
Gao Mengjiao,Yu Jian,2,2,2
Jiang Yun,Yu Jian,2,2,2
Wu Li,Yu Jian,2,2,2
Liu Xinya,Zhang Yuanming,2,2,2
Gao Mengjiao,Liu Xinya,2,2,2
Jiang Yun,Liu Xinya,2,2,2
Matsumoto Hirotaka,Sakata Yoshihiko,2,3,2
Liu Xinya,Yu Jian,2,2,2
Shi Jing,Zhang Yuanming,2,2,2
Saito Go,Yokoyama Toshihide,2,2,2
Jiang Yun,Shi Jing,2,2,2
Shi Jing,Wu Li,2,2,2
Shi Jing,Yu Jian,2,2,2
Liu Xinya,Shi Jing,2,2,2
Fujita Masashi,Kunimasa Kei,2,2,4
Imamura Fumio,Kunimasa Kei,2,3,4
Kunimasa Kei,Nishino Kazumi,2,4,2
Kunimasa Kei,Tamiya Motohiro,2,4,4
Inoue Takako,Kunimasa Kei,2,2,4
Kumagai Toru,Oka Toru,2,2,2
Fujita Masashi,Oka Toru,2,2,2
Imamura Fumio,Oka Toru,2,3,2
Nishino Kazumi,Oka Toru,2,2,2
Oka Toru,Tamiya Motohiro,2,2,4
Inoue Takako,Oka Toru,2,2,2
Gao Mengjiao,Shi Jing,2,2,2
Okada Asuka,Saito Go,2,2,2
Saito Go,Shibaki Ryota,2,2,2
Saito Go,Suzuki Hidekazu,2,2,2
Saito Go,Tamiya Motohiro,2,2,4
Saito Go,Tsumura Shinsuke,2,2,2
Hara Satoshi,Saito Go,2,3,2
Sakagami Takuro,Sakata Yoshihiko,2,2,2
Sakata Yoshihiko,Tsumura Shinsuke,2,2,2
Hara Satoshi,Sakata Yoshihiko,2,3,2
Maruyama Hirotaka,Sakata Yoshihiko,2,2,2
Arai Daisuke,Sakata Yoshihiko,2,2,2
Ikeda Hideki,Sakata Yoshihiko,2,2,2
Saito Go,Sato Yuki,2,2,2
Otsuki Taiichiro,Saito Go,2,2,2
Shibaki Ryota,Tamiya Motohiro,2,2,4
Gao Mengjiao,Zhang Yuanming,2,2,2
Tanaka Yuta,Tatebe Yasuhisa,2,2,2
Hamano Hirofumi,Tanaka Yuta,2,3,2
Tanaka Yuta,Zamami Yoshito,2,2,3
Hamano Hirofumi,Tatebe Yasuhisa,2,3,2
Tatebe Yasuhisa,Zamami Yoshito,2,2,3
Chung Chaeuk,Kim So-Yun,2,2,2
Kim Eun Kyoung,Lee Se-Hoon,2,2,3
Suzuki Hidekazu,Tamiya Motohiro,2,2,4
Gawli Chandrakant S,Patil Bhatu R,2,2,2
Okada Asuka,Sakata Shinya,2,2,2
Saito Go,Sakata Shinya,2,2,2
Saito Go,Yamaguchi Teppei,2,2,2
Maruyama Hirotaka,Yamaguchi Teppei,2,2,2
Hara Satoshi,Yamaguchi Teppei,2,3,2
Tsumura Shinsuke,Yamaguchi Teppei,2,2,2
Sakagami Takuro,Yamaguchi Teppei,2,2,2
Gawli Chandrakant S,Nagpure Narendra R,2,2,2
Hara Satoshi,Maruyama Hirotaka,2,3,2
Tsukita Yoko,Tsumura Shinsuke,2,2,2
Hara Satoshi,Tsukita Yoko,2,3,2
Maruyama Hirotaka,Tsukita Yoko,2,2,2
Arai Daisuke,Tsukita Yoko,2,2,2
Ikeda Hideki,Tsukita Yoko,2,2,2
Inaba Megumi,Tsukita Yoko,2,2,2
Hara Satoshi,Ikeda Hideki,2,3,2
Ikeda Hideki,Maruyama Hirotaka,2,2,2
Hara Satoshi,Uchida Junji,2,3,2
Maruyama Hirotaka,Uchida Junji,2,2,2
Arai Daisuke,Uchida Junji,2,2,2
Ikeda Hideki,Uchida Junji,2,2,2
Inaba Megumi,Uchida Junji,2,2,2
Tsukita Yoko,Uchida Junji,2,2,2
Otsuki Taiichiro,Shibaki Ryota,2,2,2
Sakagami Takuro,Tsukita Yoko,2,2,2
Kanda Yasunari,Kato Yuri,2,3,2
Kato Yuri,Kondo Moe,2,2,2
Kato Yuri,Nakamura Yuya,2,2,2
Kagamu Hiroshi,Yamaguchi Ou,2,2,3
Kagamu Hiroshi,Kaira Kyoichi,2,2,3
Kaira Kyoichi,Yamaguchi Ou,2,3,3
Sakagami Takuro,Uchida Junji,2,2,2
Tsumura Shinsuke,Uchida Junji,2,2,2
Otsuki Taiichiro,Tsumura Shinsuke,2,2,2
Hara Satoshi,Otsuki Taiichiro,2,3,2
Maruyama Hirotaka,Otsuki Taiichiro,2,2,2
Arai Daisuke,Otsuki Taiichiro,2,2,2
Ikeda Hideki,Otsuki Taiichiro,2,2,2
Inaba Megumi,Otsuki Taiichiro,2,2,2
Ikeda Hideki,Inaba Megumi,2,2,2
Liu Xinya,Wu Li,2,2,2
Kato Terufumi,Wu Yi-Long,2,3,5
Kato Yuri,Nishida Motohiro,2,2,2
Kim Young-Chul,Yoon Seong Hoon,2,3,4
Kim Young-Chul,Lee Sang Hoon,2,3,5
Jung Chi Young,Kim Young-Chul,2,3,3
Jang Tae Won,Jung Chi Young,2,4,3
Jung Chi Young,Yoon Seong Hoon,2,3,4
Jung Chi Young,Lee Sang Hoon,2,3,5
Jang Tae Won,Kim Young-Chul,2,4,3
He Yong,Wu Yi-Long,2,2,5
Choi Chang-Min,Kim Young-Chul,2,3,3
Jung Chi Young,Kim Seung Joon,2,3,5
Kim Seung Joon,Kim Young-Chul,2,5,3
Jung Chi Young,Lee Kye Young,2,3,5
Maruyama Hirotaka,Tsumura Shinsuke,2,2,2
Arai Daisuke,Inaba Megumi,2,2,2
Inaba Megumi,Maruyama Hirotaka,2,2,2
Hara Satoshi,Inaba Megumi,2,3,2
Inaba Megumi,Tsumura Shinsuke,2,2,2
Inaba Megumi,Sakagami Takuro,2,2,2
Arai Daisuke,Ikeda Hideki,2,2,2
Choi Chang-Min,Jung Chi Young,2,3,3
Kim Young-Chul,Lee Kye Young,2,3,5
Choi Chang-Min,Jang Tae Won,2,3,4
Chang Yoon Soo,Kim Young-Chul,2,4,3
Chang Yoon Soo,Jung Chi Young,2,4,3
Cui Wanyuan,Popat Sanjay,2,2,3
Jung Chi Young,Lee Sung Yong,2,3,6
Kim Young-Chul,Lee Jeong Eun,2,3,6
Kim Young-Chul,Lee Shin Yup,2,3,5
Jung Chi Young,Lee Shin Yup,2,3,5
Choi Chang-Min,Yoon Seong Hoon,2,3,4
Okada Asuka,Uchida Junji,2,2,2
Okada Asuka,Sato Yuki,2,2,2
Okada Asuka,Otsuki Taiichiro,2,2,2
Matsumoto Hirotaka,Okada Asuka,2,3,2
Okada Asuka,Yokoyama Toshihide,2,2,2
Sakagami Takuro,Shibaki Ryota,2,2,2
Otsuki Taiichiro,Yokoyama Toshihide,2,2,2
Matsumoto Hirotaka,Yokoyama Toshihide,2,3,2
Maruyama Hirotaka,Shibaki Ryota,2,2,2
Arai Daisuke,Shibaki Ryota,2,2,2
Ikeda Hideki,Shibaki Ryota,2,2,2
Inaba Megumi,Shibaki Ryota,2,2,2
Shibaki Ryota,Tsukita Yoko,2,2,2
Shibaki Ryota,Uchida Junji,2,2,2
Inaba Megumi,Okada Asuka,2,2,2
Sakagami Takuro,Sato Yuki,2,2,2
Hara Satoshi,Sato Yuki,2,3,2
Maruyama Hirotaka,Sato Yuki,2,2,2
Arai Daisuke,Sato Yuki,2,2,2
Ikeda Hideki,Sato Yuki,2,2,2
Inaba Megumi,Sato Yuki,2,2,2
Sato Yuki,Tsukita Yoko,2,2,2
Shibaki Ryota,Tsumura Shinsuke,2,2,2
Hara Satoshi,Shibaki Ryota,2,3,2
Ikeda Hideki,Suzuki Hidekazu,2,2,2
Inaba Megumi,Suzuki Hidekazu,2,2,2
Suzuki Hidekazu,Tsukita Yoko,2,2,2
Suzuki Hidekazu,Uchida Junji,2,2,2
Sato Yuki,Suzuki Hidekazu,2,2,2
Otsuki Taiichiro,Suzuki Hidekazu,2,2,2
Sato Yuki,Shibaki Ryota,2,2,2
Okada Asuka,Tsukita Yoko,2,2,2
Sato Yuki,Tsumura Shinsuke,2,2,2
Otsuki Taiichiro,Sato Yuki,2,2,2
