source,target,weight,source_freq,target_freq
Amisulpride,Paliperidone Palmitate,2,4,3
Amisulpride,Quetiapine Fumarate,2,4,4
"Databases, Factual",epidemiology,2,3,4
"Databases, Factual",statistics & numerical data,2,3,3
Clozapine,therapeutic drug monitoring,2,10,8
drug effects,therapeutic use,2,5,19
iloperidone,lurasidone,2,2,2
Olanzapine,iloperidone,2,6,2
iloperidone,paliperidone,2,2,2
iloperidone,quetiapine,2,2,2
Clozapine,asenapine,2,10,2
asenapine,haloperidol,2,2,3
asenapine,iloperidone,2,2,2
asenapine,lurasidone,2,2,2
Olanzapine,asenapine,2,6,2
asenapine,paliperidone,2,2,2
asenapine,quetiapine,2,2,2
Risperidone,asenapine,2,7,2
asenapine,sertindole,2,2,2
administration & dosage,statistics & numerical data,2,6,3
Antipsychotic Agents,Quality Control,2,34,2
Benzodiazepines,therapeutic use,2,3,19
Antipsychotic Agents,asenapine,2,34,2
Clozapine,iloperidone,2,10,2
Clozapine,lurasidone,2,10,2
Amisulpride,asenapine,2,4,2
Amisulpride,iloperidone,2,4,2
Amisulpride,lurasidone,2,4,2
Amisulpride,paliperidone,2,4,2
Amisulpride,quetiapine,2,4,2
Amisulpride,sertindole,2,4,2
Aripiprazole,asenapine,2,6,2
"Chromatography, Liquid",Clozapine,2,5,10
Benzodiazepines,Schizophrenia,2,3,10
Benzodiazepines,drug therapy,2,3,14
Clozapine,Paliperidone Palmitate,2,10,3
Antipsychotic Agents,United States Food and Drug Administration,2,34,2
United States Food and Drug Administration,adverse effects,2,2,16
"Databases, Factual",adverse effects,2,3,16
administration & dosage,chemically induced,2,6,5
administration & dosage,epidemiology,2,6,4
Schizophrenia,epidemiology,2,10,4
Antipsychotics,chemistry,2,10,3
Antipsychotics,Reproducibility of Results,2,10,3
chemistry,therapeutic drug monitoring,2,3,8
Reproducibility of Results,therapeutic drug monitoring,2,3,8
Olanzapine,Paliperidone Palmitate,2,6,3
Olanzapine,Schizophrenia,2,6,10
Quetiapine Fumarate,Schizophrenia,2,4,10
Quetiapine Fumarate,drug therapy,2,4,14
Risperidone,Schizophrenia,2,7,10
Antipsychotic Agents,medication adherence,2,34,2
Aripiprazole,iloperidone,2,6,2
Aripiprazole,lurasidone,2,6,2
Aripiprazole,paliperidone,2,6,2
Aripiprazole,quetiapine,2,6,2
Aripiprazole,sertindole,2,6,2
"Databases, Factual",therapeutic use,2,3,19
statistics & numerical data,therapeutic use,2,3,19
drug therapy,statistics & numerical data,2,14,3
"Databases, Factual",Drug Monitoring,2,3,13
pharmacokinetics,therapeutic drug monitoring,2,8,8
drug therapy,epidemiology,2,14,4
Antipsychotics,Quality Control,2,10,2
Quality Control,blood,2,2,11
"Chromatography, High Pressure Liquid",Quality Control,2,6,2
"Chromatography, Liquid",Drug Monitoring,2,5,13
Clozapine,epidemiology,2,10,4
Antidepressive Agents,Antipsychotic Agents,2,2,34
adverse effects,methods,2,16,8
"Dose-Response Relationship, Drug",pharmacokinetics,2,4,8
administration & dosage,pharmacokinetics,2,6,8
pharmacokinetics,pharmacology,2,8,3
methods,pharmacokinetics,2,8,8
pharmacology,therapeutic use,2,3,19
methods,therapeutic use,2,8,19
adverse effects,blood,2,16,11
"Dose-Response Relationship, Drug",methods,2,4,8
"Chromatography, Liquid",therapeutic drug monitoring,2,5,8
Dried Blood Spot Testing,therapeutic drug monitoring,2,2,8
Antipsychotic Agents,Dried Blood Spot Testing,2,34,2
Dried Blood Spot Testing,blood,2,2,11
Dried Blood Spot Testing,Drug Monitoring,2,2,13
Dried Blood Spot Testing,Tandem Mass Spectrometry,2,2,11
Antipsychotics,metabolism,2,10,4
Antipsychotics,Aripiprazole,2,10,6
